GEO ID,Province Code,City,Total,Motorized,Public,Active
24661450,24,Montréal,190.0,70.0,55.0,60.0
24661451,24,Montréal,120.0,40.0,40.0,35.0
24661452,24,Montréal,105.0,35.0,30.0,35.0
24661453,24,Montréal,295.0,105.0,90.0,100.0
24661454,24,Montréal,200.0,80.0,50.0,65.0
24661455,24,Montréal,105.0,50.0,35.0,10.0
24661456,24,Montréal,230.0,65.0,75.0,95.0
24661457,24,Montréal,225.0,30.0,80.0,110.0
24661458,24,Montréal,90.0,35.0,30.0,25.0
24661459,24,Montréal,105.0,55.0,15.0,25.0
24661460,24,Montréal,110.0,40.0,40.0,25.0
24661461,24,Montréal,195.0,75.0,45.0,70.0
24661462,24,Montréal,125.0,30.0,55.0,45.0
24661463,24,Montréal,265.0,70.0,115.0,65.0
24661464,24,Montréal,155.0,35.0,85.0,50.0
24661465,24,Montréal,105.0,30.0,40.0,25.0
24661466,24,Montréal,215.0,70.0,95.0,50.0
24661467,24,Montréal,160.0,40.0,85.0,40.0
24661468,24,Montréal,250.0,80.0,75.0,90.0
24661469,24,Montréal,160.0,55.0,60.0,40.0
24661470,24,Montréal,125.0,45.0,40.0,40.0
24661471,24,Montréal,95.0,30.0,15.0,45.0
24661472,24,Montréal,120.0,50.0,30.0,30.0
24661473,24,Montréal,145.0,55.0,60.0,25.0
24661474,24,Montréal,105.0,45.0,50.0,10.0
24661475,24,Montréal,110.0,20.0,70.0,25.0
24661476,24,Montréal,125.0,40.0,65.0,10.0
24661477,24,Montréal,255.0,90.0,105.0,60.0
24661478,24,Montréal,155.0,75.0,40.0,30.0
24661479,24,Montréal,270.0,125.0,95.0,45.0
24661480,24,Montréal,175.0,75.0,55.0,35.0
24661481,24,Montréal,195.0,90.0,75.0,25.0
24661482,24,Montréal,305.0,135.0,130.0,35.0
24661483,24,Montréal,165.0,75.0,65.0,30.0
24661484,24,Montréal,280.0,170.0,95.0,10.0
24661485,24,Montréal,155.0,60.0,70.0,15.0
24661486,24,Montréal,195.0,70.0,100.0,15.0
24661487,24,Montréal,190.0,95.0,85.0,20.0
24661488,24,Montréal,145.0,85.0,45.0,20.0
24661489,24,Montréal,205.0,110.0,70.0,20.0
24661490,24,Montréal,250.0,90.0,130.0,20.0
24661491,24,Montréal,225.0,80.0,85.0,30.0
24661492,24,Montréal,175.0,80.0,50.0,40.0
24661493,24,Montréal,225.0,70.0,110.0,35.0
24661494,24,Montréal,230.0,110.0,85.0,35.0
24661495,24,Montréal,165.0,50.0,90.0,15.0
24661496,24,Montréal,150.0,80.0,60.0,10.0
24661497,24,Montréal,120.0,50.0,60.0,10.0
24661498,24,Montréal,105.0,45.0,55.0,0.0
24661499,24,Montréal,190.0,65.0,90.0,30.0
24661500,24,Montréal,130.0,60.0,45.0,20.0
24661501,24,Montréal,175.0,40.0,50.0,80.0
24661502,24,Montréal,195.0,70.0,70.0,50.0
24661503,24,Montréal,110.0,30.0,60.0,20.0
24661504,24,Montréal,145.0,55.0,55.0,30.0
24661505,24,Montréal,160.0,30.0,90.0,35.0
24661506,24,Montréal,230.0,55.0,120.0,55.0
